index,Close,Open,a,b,c,d,e,f,g,h,i
1777,2114.15,2118.21,0.98642623,0.8573216,0.9781212,0.5231164,0.0538247,0.50872993,0.8936201,0.003355709,0.93332785
1778,2102.15,2114.16,0.9986254,0.95145935,0.9958949,0.45448798,0.013358723,0.5775265,0.9599729,0.000161298,0.98905224
1779,2079.65,2102.24,0.9998319,0.9770387,0.9993298,0.39352596,0.00235491,0.660567,0.9878209,3.97E-06,0.9971113
1780,2067.64,2078.19,0.9998605,0.98355997,0.99968493,0.3815431,0.002113612,0.6828486,0.99146503,1.21E-06,0.9972996
1781,2093.25,2070.75,0.9922186,0.8822575,0.9760754,0.47784683,0.043073006,0.51951826,0.8974639,0.001856807,0.97010225
1782,2108.57,2094.7,0.25028068,0.37376624,0.2202268,0.61863965,0.76123804,0.33018234,0.2925955,0.8487091,0.32184184
1783,2108.63,2106.78,0.2649047,0.38329914,0.22358096,0.6228726,0.7631473,0.33332363,0.3008555,0.84610325,0.31277657
1784,2103.84,2111.6,0.11589754,0.2802526,0.13974844,0.6399071,0.86892146,0.30759537,0.21551514,0.94698703,0.18901871
1785,2098.04,2104.49,0.13742957,0.31774318,0.10580456,0.6236523,0.8739133,0.3140397,0.21121751,0.939282,0.26050538
1786,2093.32,2097.68,0.12649152,0.29670617,0.118247606,0.62468714,0.8809906,0.31461903,0.21644679,0.9414618,0.24347235
1787,2099.84,2095.27,0.1948237,0.27977008,0.17801563,0.61249065,0.78017384,0.34094346,0.2851534,0.8631273,0.3218052
1788,2083.56,2100.75,0.9940949,0.8689968,0.9817328,0.47706372,0.029754642,0.5433457,0.9204062,0.001115122,0.97339976
1789,2077.57,2082.61,0.99704605,0.8997873,0.99249154,0.47136247,0.01954314,0.5694358,0.9496165,0.000367271,0.9768793
1790,2104.18,2080.98,0.001942098,0.027544407,0.003677712,0.7003339,0.9877434,0.22311513,0.03198691,0.99974805,0.017662076
1791,2084.07,2102.66,0.096324086,0.18247955,0.122355156,0.6289783,0.8224262,0.32458696,0.21474771,0.9346803,0.19205469
1792,2086.05,2081.1,0.119868025,0.19199027,0.12514178,0.60717744,0.81105274,0.32881355,0.22160359,0.91293657,0.25782874
1793,2083.39,2086.19,0.5176023,0.43465674,0.5771784,0.6099357,0.5341612,0.38488448,0.49960852,0.4816943,0.43426144
1794,2091.54,2083.15,0.02826873,0.13058007,0.058713064,0.67086303,0.9485732,0.2856959,0.13551852,0.99079555,0.06991669
1795,2102.44,2089.7,0.004983005,0.046904307,0.008013237,0.68959004,0.9821969,0.24382016,0.05166023,0.99929917,0.03077626
1796,2096.92,2101.99,0.1255884,0.23230372,0.23779574,0.6537313,0.7899913,0.33939105,0.2938804,0.90075135,0.16116352
1797,2079.61,2095.69,0.8019723,0.5995589,0.74600023,0.5529569,0.32336965,0.42809573,0.6323724,0.12336011,0.7689381
1798,2035.73,2076.61,0.9994991,0.9733373,0.99885905,0.39832604,0.004178415,0.65276694,0.9825035,6.22E-06,0.9956155
1799,1970.89,2034.08,0.9991499,0.9833726,0.9988193,0.4063338,0.004855537,0.63730204,0.9773232,6.07E-06,0.9947708
1800,1893.21,1965.15,0.9990403,0.98608416,0.999006,0.40927255,0.004397655,0.62770915,0.9762289,5.86E-06,0.99489623
1801,1867.61,1898.08,0.99801254,0.9731319,0.99807113,0.4626918,0.007965047,0.59393734,0.9653587,3.59E-05,0.98462546
1802,1940.51,1872.75,0.95528424,0.5337474,0.8509433,0.5083339,0.10305074,0.4788543,0.7931818,0.028245484,0.90473396
1803,1987.66,1942.77,7.80E-05,0.001774092,6.76E-05,0.76105756,0.999246,0.12798755,0.00383502,0.99999976,0.001417516
1804,1988.87,1986.06,0.000323963,0.005879157,0.000406785,0.7691486,0.99853754,0.14254278,0.008801485,0.99999905,0.002004955
1805,1972.18,1986.73,0.000175526,0.004378789,0.00016757,0.76404953,0.9992822,0.13294932,0.005491235,0.99999964,0.002043829
1806,1913.85,1970.09,0.000598766,0.015158337,0.000324378,0.70749146,0.9978787,0.17540477,0.010493804,0.99999166,0.01314347
1807,1948.86,1916.52,0.00112107,0.009943993,0.000449802,0.70865506,0.9976394,0.18027088,0.014257037,0.9999927,0.011372769
1808,1951.13,1950.79,0.0037269,0.018980721,0.002261579,0.70580846,0.9914697,0.21386887,0.033372767,0.99992096,0.01749293
1809,1921.22,1947.76,0.011018843,0.045119174,0.008811284,0.6870271,0.9752049,0.25012168,0.06687401,0.9991092,0.040050935
1810,1969.41,1927.3,0.02900525,0.065477885,0.058384206,0.6930801,0.8366204,0.29767266,0.15028329,0.986161,0.051636778
1811,1942.04,1971.45,0.17169744,0.22048064,0.371957,0.66054076,0.54366124,0.36249575,0.3593736,0.7147611,0.16024101
1812,1952.29,1941.59,0.027409036,0.11970933,0.20049591,0.7215878,0.8175823,0.30084145,0.18791251,0.97755104,0.029560003
1813,1961.05,1951.45,0.009440659,0.06279691,0.042235307,0.73430616,0.9290387,0.28589723,0.10182827,0.99728525,0.0179465
1814,1953.03,1963.06,0.08045062,0.20338559,0.19131143,0.67069405,0.79623663,0.38959327,0.32245597,0.8686353,0.11337812
1815,1978.09,1955.1,0.12099638,0.1946979,0.07487131,0.64314705,0.79175943,0.36171117,0.25305223,0.9119592,0.20406556
