index,Close,Open,a,b,c,d,e,f,g,h
1273,1695.53,1694.41,0.2878533,0.67895204,0.3897603,0.5605938,0.38395903,0.5727173,0.5731861,0.23047411
1274,1692.39,1696.63,0.27500972,0.65147954,0.38255012,0.58422387,0.36952502,0.5743224,0.61814487,0.20624974
1275,1685.94,1696.06,0.27560467,0.651196,0.3926728,0.580123,0.37573832,0.5681593,0.600283,0.20747004
1276,1690.25,1685.21,0.29090282,0.66223216,0.38830492,0.5719957,0.38432395,0.5787723,0.57053316,0.22202253
1277,1691.65,1687.31,0.28231195,0.6580629,0.38957363,0.57429427,0.38483018,0.57309026,0.5853059,0.21338344
1278,1685.33,1690.32,0.2893448,0.64914095,0.36909464,0.5847036,0.38517937,0.5992332,0.5935586,0.21432312
1279,1685.96,1687.92,0.28165215,0.63827354,0.3602783,0.58803946,0.38403407,0.6059816,0.6052737,0.21286714
1280,1685.73,1687.76,0.28645313,0.6346302,0.3513981,0.57910454,0.3851124,0.61351156,0.58703697,0.22955848
1281,1706.87,1689.42,0.33257553,0.6523474,0.3160685,0.5284976,0.39341253,0.64902407,0.4816898,0.30872566
1282,1709.67,1706.1,0.35437813,0.6702258,0.34037757,0.5243559,0.40196177,0.6320222,0.4506715,0.32916906
1283,1707.14,1708.01,0.33672765,0.6643963,0.37156364,0.548571,0.40028727,0.596454,0.49262664,0.29381323
1284,1697.37,1705.79,0.2953718,0.65607935,0.37896162,0.5720059,0.40470955,0.5880284,0.55153185,0.2447419
1285,1690.91,1695.3,0.27966183,0.6505821,0.41444054,0.5878985,0.40554747,0.55078816,0.57524717,0.22690296
1286,1697.48,1693.35,0.29701805,0.6574525,0.38129255,0.56546444,0.4065508,0.584093,0.53916174,0.2573504
1287,1691.42,1696.1,0.2724262,0.64894176,0.37026376,0.5739921,0.399082,0.5891267,0.5929422,0.23078337
1288,1689.47,1688.37,0.28071287,0.6499213,0.38196707,0.5757732,0.39823717,0.57970446,0.583463,0.2379771
1289,1694.16,1690.65,0.292508,0.6585337,0.35639897,0.55870515,0.404469,0.6082802,0.55112636,0.25446182
1290,1685.39,1693.88,0.3005977,0.6552504,0.39914772,0.55839825,0.3986939,0.5626959,0.5319751,0.27057943
1291,1661.32,1679.61,0.24983357,0.6306982,0.4476539,0.5917071,0.39450487,0.51098,0.6077897,0.21564798
1292,1655.83,1661.22,0.27634025,0.6390294,0.4209243,0.5831315,0.392047,0.5409645,0.58510745,0.23983645
1293,1646.06,1655.25,0.30830172,0.6515755,0.3514667,0.56482506,0.4036166,0.62133694,0.5445971,0.26046056
1294,1652.35,1646.81,0.31913754,0.6516447,0.3264769,0.5562334,0.40362018,0.64541817,0.5285663,0.27263716
1295,1642.8,1650.66,0.30920643,0.6499463,0.3254323,0.55242443,0.39849553,0.64323425,0.54262763,0.26715967
1296,1656.96,1645.03,0.34054804,0.6711286,0.32682544,0.5251826,0.40456694,0.63826233,0.4703754,0.31502074
1297,1663.5,1659.92,0.38375473,0.69508445,0.33707735,0.4991591,0.41864294,0.6371139,0.3770838,0.3787472
1298,1656.78,1664.29,0.37355933,0.69686455,0.33584896,0.50461805,0.41760147,0.64156085,0.39694166,0.35560974
1299,1630.48,1652.54,0.3150454,0.6852489,0.33548126,0.53271264,0.42130327,0.6425537,0.4851061,0.280711
1300,1634.96,1630.25,0.334128,0.6985006,0.32377544,0.5263485,0.42183205,0.65518403,0.46845618,0.30073714
1301,1638.17,1633.5,0.34614158,0.6951799,0.32453948,0.5230787,0.41948217,0.6536015,0.45317125,0.3116042
1302,1632.97,1638.89,0.32320452,0.69848615,0.3127953,0.5272041,0.41890088,0.6649563,0.4912257,0.28862637
1303,1639.77,1635.95,0.32777053,0.7212217,0.29782072,0.49375087,0.42746487,0.68161875,0.44223002,0.31789207
1304,1653.08,1640.72,0.37250537,0.7271529,0.30977583,0.4753511,0.44251248,0.6779951,0.3555109,0.38518357
1305,1655.08,1653.28,0.3877629,0.7284902,0.31366876,0.47175887,0.4367381,0.679958,0.34947997,0.40105203
1306,1655.17,1657.44,0.3451403,0.7115232,0.3226878,0.49532568,0.42544577,0.65697443,0.41694614,0.34438208
1307,1671.71,1656.85,0.38841388,0.73416257,0.2929528,0.46436805,0.4502491,0.70815724,0.33915895,0.4027326
1308,1683.99,1674.32,0.388668,0.7296622,0.27116537,0.4719162,0.44653252,0.73116004,0.34888116,0.39506853
1309,1689.13,1681.04,0.37625262,0.7314112,0.30240387,0.48634607,0.44730625,0.6979189,0.3699695,0.3721737
1310,1683.42,1689.21,0.32914492,0.7110007,0.33593524,0.52426195,0.42448887,0.64550567,0.46695483,0.31238937
1311,1687.99,1685.04,0.32813117,0.7270382,0.34499502,0.5153872,0.43681544,0.64358085,0.46294782,0.30245602
1312,1697.6,1691.7,0.3174581,0.7165039,0.3426276,0.5204178,0.43264663,0.6426475,0.47582164,0.28895724
1313,1704.76,1697.73,0.31841275,0.7148217,0.3614857,0.52819526,0.42576995,0.6215654,0.4844811,0.28960183
1314,1725.52,1705.74,0.29170966,0.714476,0.31959558,0.5230366,0.43269867,0.6639789,0.50784224,0.26036096
1315,1722.34,1727.34,0.31690294,0.7064257,0.34980926,0.53373545,0.41972676,0.63408124,0.4934476,0.28544572
1316,1709.91,1722.44,0.2719415,0.6686966,0.37340915,0.5741411,0.38082564,0.58933836,0.5941587,0.21907403
1317,1701.84,1711.44,0.2821423,0.66957873,0.42876098,0.57962954,0.37623128,0.5294829,0.59579813,0.21345843
1318,1697.42,1702.6,0.28428465,0.66130203,0.42865366,0.58367044,0.37478152,0.5311644,0.59782887,0.21146898
